source_entry_id,preferred_name,candidate_family,source_name,source_identifier,source_url,retrieval_date,source_version,identity_status
sulfite-src-001,Ethylene sulfite,sulfite,PubChem,CID:77342,https://pubchem.ncbi.nlm.nih.gov/compound/77342,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
sulfite-src-002,"1,2-Propylene sulfite",sulfite,PubChem,CID:15117,https://pubchem.ncbi.nlm.nih.gov/compound/15117,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
sulfite-src-003,Trimethylene sulfite,sulfite,PubChem,CID:77839,https://pubchem.ncbi.nlm.nih.gov/compound/77839,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
sulfite-src-004,"4,5-Dimethyl ethylene sulfite",sulfite,PubChem,CID:97910,https://pubchem.ncbi.nlm.nih.gov/compound/97910,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
sulfite-src-005,Dimethyl sulfite,sulfite,PubChem,CID:69223,https://pubchem.ncbi.nlm.nih.gov/compound/69223,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
sulfite-src-006,Ethyl methyl sulfite,sulfite,PubChem,CID:66305,https://pubchem.ncbi.nlm.nih.gov/compound/66305,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
sulfite-src-007,Diethyl sulfite,sulfite,PubChem,CID:12197,https://pubchem.ncbi.nlm.nih.gov/compound/12197,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
sulfite-src-008,Dipropyl sulfite,sulfite,PubChem,CID:136434,https://pubchem.ncbi.nlm.nih.gov/compound/136434,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
sulfite-src-009,Diisopropyl sulfite,sulfite,PubChem,CID:536816,https://pubchem.ncbi.nlm.nih.gov/compound/536816,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
sulfite-src-010,Dibutyl sulfite,sulfite,PubChem,CID:69384,https://pubchem.ncbi.nlm.nih.gov/compound/69384,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
source-011,Ethylene sulfate,sulfate_or_sultone,PubChem,14075,https://pubchem.ncbi.nlm.nih.gov/compound/14075,2026-09-15,PubChem-live-2026-09-15,identity_pending_p05_11
