neutral_id,status,reason,molecular_weight_g_mol,cation_id,anion_id
libe-137146,rejected,disallowed_element,,,
libe-192466,rejected,disallowed_element,,,
libe-192666,rejected,disallowed_element,,,
libe-192837,rejected,disallowed_element,,,
libe-192884,rejected,disallowed_element,,,
libe-192936,rejected,disallowed_element,,,
libe-192949,rejected,disallowed_element,,,
libe-192950,rejected,disallowed_element,,,
libe-117518,rejected,not_closed_shell,,,
libe-120543,rejected,not_closed_shell,,,
libe-120573,rejected,not_closed_shell,,,
libe-120633,rejected,disallowed_element,,,
libe-120634,rejected,disallowed_element,,,
libe-120646,rejected,disallowed_element,,,
libe-120649,rejected,disallowed_element,,,
libe-631182,rejected,disallowed_element,,,
libe-631186,rejected,disallowed_element,,,
libe-631203,rejected,disallowed_element,,,
libe-510616,rejected,disallowed_element,,,
libe-514421,rejected,disallowed_element,,,
libe-515493,rejected,disallowed_element,,,
libe-519172,rejected,disallowed_element,,,
libe-522210,rejected,disallowed_element,,,
libe-523086,rejected,disallowed_element,,,
libe-523737,rejected,disallowed_element,,,
libe-523908,rejected,disallowed_element,,,
libe-527344,rejected,disallowed_element,,,
libe-528815,rejected,disallowed_element,,,
libe-536234,rejected,disallowed_element,,,
libe-542397,rejected,disallowed_element,,,
libe-631206,rejected,disallowed_element,,,
libe-631244,rejected,disallowed_element,,,
libe-631246,rejected,disallowed_element,,,
libe-631253,rejected,disallowed_element,,,
libe-631271,rejected,disallowed_element,,,
libe-631291,rejected,disallowed_element,,,
libe-631294,rejected,disallowed_element,,,
libe-631348,rejected,disallowed_element,,,
libe-631373,rejected,disallowed_element,,,
libe-631534,rejected,disallowed_element,,,
libe-631615,rejected,disallowed_element,,,
libe-631673,rejected,disallowed_element,,,
libe-631679,rejected,disallowed_element,,,
libe-631705,rejected,disallowed_element,,,
libe-631732,rejected,disallowed_element,,,
libe-631835,rejected,disallowed_element,,,
libe-631880,rejected,disallowed_element,,,
libe-631911,rejected,disallowed_element,,,
libe-631932,rejected,disallowed_element,,,
libe-631976,rejected,disallowed_element,,,
libe-632064,rejected,disallowed_element,,,
libe-632084,rejected,disallowed_element,,,
libe-632126,rejected,disallowed_element,,,
libe-634003,rejected,disallowed_element,,,
libe-634017,rejected,disallowed_element,,,
libe-116212,rejected,mass_out_of_range,48.044,,
libe-224753,rejected,not_closed_shell,48.044,,
libe-173529,rejected,not_closed_shell,,,
libe-501843,rejected,disallowed_element,,,
libe-121835,rejected,not_closed_shell,,,
libe-121836,rejected,not_closed_shell,,,
libe-121838,rejected,not_closed_shell,,,
libe-121839,rejected,not_closed_shell,,,
libe-121840,rejected,not_closed_shell,,,
libe-121842,rejected,not_closed_shell,,,
libe-121850,rejected,not_closed_shell,,,
libe-115784,rejected,missing_anion_match,106.077,libe-120826,
libe-529089,rejected,not_closed_shell,,,
libe-515248,rejected,not_closed_shell,,,
libe-524620,rejected,not_closed_shell,,,
libe-121546,rejected,not_closed_shell,177.132,,
libe-121547,rejected,not_closed_shell,177.132,,
libe-121549,rejected,not_closed_shell,177.132,,
libe-137706,rejected,disallowed_element,,,
libe-137773,rejected,disallowed_element,,,
libe-138171,rejected,disallowed_element,,,
libe-117797,accepted,,72.107,libe-117196,libe-117202
libe-117798,rejected,missing_anion_match,72.107,libe-117219,
libe-227518,rejected,not_closed_shell,72.107,,
libe-516030,rejected,disallowed_element,,,
libe-527938,rejected,disallowed_element,,,
libe-121680,rejected,disallowed_element,,,
libe-118671,rejected,not_closed_shell,45.017,,
libe-121691,rejected,not_closed_shell,,,
libe-121693,rejected,not_closed_shell,,,
libe-121702,rejected,not_closed_shell,,,
libe-179186,rejected,not_closed_shell,,,
libe-193697,rejected,not_closed_shell,,,
libe-120748,rejected,disallowed_element,,,
libe-120749,rejected,disallowed_element,,,
libe-120766,rejected,disallowed_element,,,
libe-179301,rejected,disallowed_element,,,
libe-179340,rejected,disallowed_element,,,
libe-180655,rejected,disallowed_element,,,
libe-223082,rejected,disallowed_element,,,
libe-141098,rejected,disallowed_element,,,
libe-520764,rejected,disallowed_element,,,
libe-524460,rejected,disallowed_element,,,
libe-641648,rejected,not_closed_shell,,,
libe-641653,rejected,not_closed_shell,,,
libe-641661,rejected,not_closed_shell,,,
libe-140849,rejected,disallowed_element,,,
